azurebatch,Azure.Batch,6.1.0
azurebatchfilestaging,Azure.Batch.FileStaging,6.0.0
azuregraphrbac,Microsoft.Azure.Graph.RBAC,3.3.0-preview
azureinsights,Microsoft.Azure.Insights,0.15.0-preview
azurekeyvault,Microsoft.Azure.KeyVault,2.0.6
azurekeyvaultcore,Microsoft.Azure.KeyVault.Core,2.0.4
azurekeyvaultcryptography,Microsoft.Azure.KeyVault.Cryptography,2.0.5
azurekeyvaultextensions,Microsoft.Azure.KeyVault.Extensions,2.0.5
azurekeyvaulttestframework,Microsoft.Azure.KeyVault.TestFramework,2.0.2-preview
azurekeyvaultwebkey,Microsoft.Azure.KeyVault.WebKey,2.0.4
azuremgmtanalysis,Microsoft.Azure.Management.Analysis,1.1.0-preview
azuremgmtauthorization,Microsoft.Azure.Management.Authorization,2.5.0-preview
azuremgmtbatch,Microsoft.Azure.Management.Batch,4.2.0
azuremgmtbilling,Microsoft.Azure.Management.Billing,1.1.0-preview
azuremgmtcdn,Microsoft.Azure.Management.Cdn,3.1.0-preview
azuremgmtcognitiveservices,Microsoft.Azure.Management.CognitiveServices,0.3.0-preview
azuremgmtcompute,Microsoft.Azure.Management.Compute,14.1.0-prerelease
azuremgmtcontainerregistry,Microsoft.Azure.Management.ContainerRegistry,1.1.0-preview
azuremgmtcustomerinsights,Microsoft.Azure.Management.CustomerInsights,0.1.0-preview
azuremgmtdatalakeanalytics,Microsoft.Azure.Management.DataLake.Analytics,2.1.0-preview
azuremgmtdatalakestore,Microsoft.Azure.Management.DataLake.Store,2.1.0-preview
azuremgmtdevtestlabs,Microsoft.Azure.Management.DevTestLabs,1.2.0
azuremgmtdns,Microsoft.Azure.Management.Dns,1.8.0-preview
azuremgmteventhub,Microsoft.Azure.Management.EventHub,1.1.0
azuremgmtiothub,Microsoft.Azure.Management.IotHub,1.1.0
azuremgmtkeyvault,Microsoft.Azure.Management.KeyVault,2.1.0-preview
azuremgmtlogic,Microsoft.Azure.Management.Logic,3.0.0
azuremgmtmachinelearning,Microsoft.Azure.Management.MachineLearning,0.10.0-preview
azuremgmtmedia,Microsoft.Azure.Management.Media,0.2.0
azuremgmtnetwork,Microsoft.Azure.Management.Network,9.1.0-preview
azuremgmtnotificationhubs,Microsoft.Azure.Management.NotificationHubs,2.2.0-preview
azuremgmtoperationalinsights,Microsoft.Azure.Management.OperationalInsights,0.18.0-preview
azuremgmtpowerbiembedded,Microsoft.Azure.Management.PowerBIEmbedded,1.1.0-preview
azuremgmtrecoveryservices,Microsoft.Azure.Management.RecoveryServices,4.1.0-preview
azuremgmtrecoveryservicesbackup,Microsoft.Azure.Management.RecoveryServices.Backup,1.2.0-preview
azuremgmtredis,Microsoft.Azure.Management.Redis,4.3.0-preview
azuremgmtresourcemanager,Microsoft.Azure.Management.ResourceManager,1.5.0-preview
azuremgmtscheduler,Microsoft.Azure.Management.Scheduler,2.2.0
azuremgmtsearch,Microsoft.Azure.Management.Search,1.0.1
azuremgmtservermanagement,Microsoft.Azure.Management.ServerManagement,1.1.0
azuremgmtservicebus,Microsoft.Azure.Management.ServiceBus,0.1.0-preview
azuremgmtsql,Microsoft.Azure.Management.Sql,1.2.0-preview
azuremgmtstorage,Microsoft.Azure.Management.Storage,6.2.0-preview
azuremgmttrafficmanager,Microsoft.Azure.Management.TrafficManager,2.1.0-preview
azuremgmtwebsites,Microsoft.Azure.Management.Websites,1.6.0-preview
azuremonitor,Microsoft.Azure.Monitor,0.16.0-preview
azuresearch,Microsoft.Azure.Search,3.0.2
azuretesthttprecorder,Microsoft.Azure.Test.HttpRecorder,1.7.0
restclientruntime,Microsoft.Rest.ClientRuntime,2.3.6
restclientruntimeazure,Microsoft.Rest.ClientRuntime.Azure,3.3.5
restclientruntimeazureauthentication,Microsoft.Rest.ClientRuntime.Azure.Authentication,2.2.12
restclientruntimeazuretestframework,Microsoft.Rest.ClientRuntime.Azure.TestFramework,1.6.0
restclientruntimeetw,Microsoft.Rest.ClientRuntime.Etw,2.1.2
restclientruntimelog4net,Microsoft.Rest.ClientRuntime.Log4Net,2.1.3
